nome_tse,nome_final,descricao
DT_GERACAO,,Data de geração do arquivo (data da extração)
HH_GERACAO,,Hora de geração do arquivo (hora da extração) - Horário de Brasília
ANO_ELEICAO,ano_eleicao,Ano da eleição
CD_TIPO_ELEICAO,codigo_tipo_eleicao,Código do tipo de eleição
NM_TIPO_ELEICAO,nome_tipo_eleicao,Nome do tipo de eleição
NR_TURNO,numero_turno,Número do turno
CD_ELEICAO,codigo_eleicao,Código da eleição
DS_ELEICAO,descricao_eleicao,Descrição da eleição
DT_ELEICAO,data_eleicao,Data em que ocorreu a eleição
TP_ABRANGENCIA,tipo_abrangencia_eleicao,Tipo de abrangência da eleição
SG_UF,sigla_uf,Sigla da Unidade da Federação em que ocorreu a eleição
SG_UE,sigla_ue,Sigla da Unidade Eleitoral do candidato (em caso de eleição majoritária é a sigla da UF que o candidato concorre e em caso de eleição municipal é o código TSE do município)
NM_UE,descricao_ue,Nome da Unidade Eleitoral do candidato (em caso de eleição majoritária é a sigla da UF que o candidato concorre e em caso de eleição municipal é o código TSE do município)
CD_MUNICIPIO,codigo_municipio,Código TSE do município onde ocorreu a eleição
NM_MUNICIPIO,nome_municipio,Nome do município onde ocorreu a eleição
NR_ZONA,numero_zona,Número da Zona Eleitoral
CD_CARGO,codigo_cargo,Código do cargo a que o candidato concorre
DS_CARGO,descricao_cargo,Descrição do cargo ao qual o candidato concorre
TP_AGREMIACAO,tipo_agremiacao,Tipo de agremiação - pode assumir os valores “coligação” (quando o candidato concorre por coligação) e “partido isolado” (quando o candidato concorre somente pelo partido)
NR_PARTIDO,numero_partido,Nümero do partido
SG_PARTIDO,sigla_partido,Sigla do partido
NM_PARTIDO,nome_partido,Nome do partido
SQ_COLIGACAO,codigo_legenda,Número sequencial da coligação
NM_COLIGACAO,nome_legenda,Nome da coligação
DS_COMPOSICAO_COLIGACAO,composicao_legenda,Descrição da composição da coligação
ST_VOTO_EM_TRANSITO,voto_em_transito,O indicativo se o quantitativo de votos se refere em trânsito. Pode assumir valores S para Sim e N para Não
QT_VOTOS_NOMINAIS,total_votos,Quantidade de votos nominais totalizados para aquele partido naquele município e zona
QT_VOTOS_LEGENDA,voto_em_legenda,Quantidade de votos nominais totalizados para coligação naquele município e zona
